Smyrna,45,35.030784,-81.389606
Society Hill,563,34.451161,-79.886494
Spartanburg,180786,34.935211,-81.965377
Springfield,524,33.534265,-81.249858
Starr,173,34.396196,-82.68971
Startex,-,34.928333,-82.099167
State Park,-,34.090556,-80.966389
Sullivans Island,-,32.763652,-79.839905
Summerton,1000,33.594578,-80.360566
Summerville,43392,33.028045,-80.173852
Sumter,73107,33.928199,-80.321008
Sunset,-,34.970617,-82.807639
Swansea,827,33.733917,-81.093309
Sycamore,180,33.035556,-81.222222
Tamassee,-,34.898229,-82.986138
Tatum,75,34.643889,-79.586667
Taylors,-,34.924517,-82.31968
Tigerville,-,35.094443,-82.358236
Tillman,-,32.492719,-81.077567
Timmonsville,2320,34.101241,-79.937845
Townville,-,34.522638,-82.89633
Travelers Rest,4576,35.003929,-82.427179
Trenton,196,33.693757,-81.853392
Troy,93,33.955654,-82.294077
Turbeville,766,33.87857,-79.985174
Ulmer,88,33.057597,-81.221292
Una,-,34.968889,-81.970556
Union,10033,34.726855,-81.620235
Van Wyck,-,34.858333,-80.846111
Vance,170,33.413882,-80.461716
Varnville,2162,32.834893,-81.028839
Vaucluse,-,33.6125,-81.81
Wadmalaw Island,-,32.652854,-80.182867
Wagener,797,33.649417,-81.39952
Walhalla,4263,34.768902,-83.038778
Wallace,-,34.730704,-79.801142
Walterboro,9502,32.897367,-80.679225
Ward,91,33.884856,-81.728341
Ware Shoals,2170,34.402491,-82.26779
Warrenville,-,33.519917,-81.829397
Waterloo,166,34.33673,-82.087968
Wedgefield,-,33.943002,-80.498719
Wellford,2378,34.951394,-82.092706
West Columbia,14988,33.995024,-81.088836
West Union,291,34.751572,-83.039887
Westminster,2418,34.658857,-83.110782
Westville,-,34.449177,-80.579554
White Rock,-,34.145,-81.275833
White Stone,-,34.902778,-81.817222
Whitmire,1441,34.495485,-81.605981
Williams,117,33.034444,-80.842778
Williamston,3934,34.620572,-82.511006
Williston,3139,33.392608,-81.416146
Windsor,121,33.467446,-81.513626
Winnsboro,5141,34.381008,-81.10899
Woodruff,4298,34.757864,-82.044658
Yemassee,1027,32.642983,-80.812932
York,7931,34.994669,-81.224462
